Name,Age,Hometown,Boarded,Destination,Lifeboat,Body, NoClue
"and maid, Miss Annie Moore Ward",38,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,
"Cardeza, Mr. Thomas Drake Martinez",36,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,
"and valet, Mr. Gustave J. Lesueur",35,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,
"Carlsson, Mr. Frans Olof",33,New York City,Southampton,New York City,,
"Carrau, Mr. Francisco M.",31,"Montevideo, Uruguay",Southampton,"Montevideo, Uruguay",,
"Carrau, Mr. José Pedro",17,"Montevideo, Uruguay",Southampton,"Montevideo, Uruguay",,
"Carter, Mr. William Ernest",36,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",C,
"and valet, Mr. Alexander Cairns",28,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",,
"and chauffeur, Mr. Charles Augustus Aldworth[55]",30,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",,
"Carter, Mrs. Lucile (née Polk)",36,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",4,
"and maid, Miss Auguste Serreplan",30,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",4,
"Carter, Miss Lucile Polk",13,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",4,
"Carter, Master William Thornton II",11,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",4,
"Case, Mr. Howard Brown",49,"Ascot, Berkshire, England, UK",Southampton,"Rochester, New York, US",,
"Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,New York City,Cherbourg,New York City,5,
"Cavendish, Mr. Tyrell William",36,"London, England, UK",Southampton,New York City,,172MB
"Cavendish, Mrs. Julia Florence (née Siegel)",25,"London, England, UK",Southampton,New York City,6,
"and maid, Miss Ellen ""Nellie"" Barber",26,"London, England, UK",Southampton,New York City,6,
"Chaffee, Mr. Hubert Fuller",46,"Amenia, North Dakota, US",Southampton,"Amenia, North Dakota, US",,
"Chaffee, Mrs. Carrie Constance (née Toogood)",47,"Amenia, North Dakota, US",Southampton,"Amenia, North Dakota, US",4,
"Chambers, Mr. Norman Campbell",27,New York City,Southampton,New York City,5,
"Chambers, Mrs. Bertha (née Griggs)",32,New York City,Southampton,New York City,5,
"Cherry, Miss Gladys",30,"London, England, UK",Southampton,"Vancouver, British Columbia, Canada",8,
"Chevré, Mr. Paul Romaine Marie Léonce",45,"Paris, France",Cherbourg,"Ottawa, Ontario, Canada",7,
"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"St. Leonards-on-Sea, East Sussex, England, UK",Southampton,New York City,6,
"Chisholm, Mr. Roderick Robert Crispin[56]",40,"Belfast, Ireland, UK",Belfast,New York City,,
"Clark, Mr. Walter Miller",27,"Los Angeles, California, US",Cherbourg,"Los Angeles, California, US",,
"Clark, Mrs. Virginia Estelle (née McDowell)",26,"Los Angeles, California, US",Cherbourg,"Los Angeles, California, US",4,
"Clifford, Mr. George Quincy",40,"Stoughton, Massachusetts, US",Southampton,"Stoughton, Massachusetts",,
"Colley, Mr. Edward Pomeroy",37,"Dublin, Ireland, UK[note 1]",Southampton,"Vancouver, British Columbia, Canada",,
"Compton, Mrs. Mary Eliza (née Ingersoll)",64,"Lakewood, New Jersey, US",Cherbourg,"Lakewood, New Jersey, US",14,
"Compton, Miss Sara Rebecca",39,"Lakewood, New Jersey, US",Cherbourg,"Lakewood, New Jersey, US",14,
"Compton, Mr. Alexander Taylor Jr.",37,"Lakewood, New Jersey, US",Cherbourg,"Lakewood, New Jersey, US",,
"Cornell, Mrs. Malvina Helen (née Lamson)",55,New York City,Southampton,New York City,2,
"Crafton, Mr. John Bertram",59,"Roachdale, Indiana, US",Southampton,"Roachdale, Indiana, US",,
"Crosby, Captain Edward",70,"Milwaukee, Wisconsin, US",Southampton,"Milwaukee, Wisconsin, US",,269MB
"Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,"Milwaukee, Wisconsin, US",Southampton,"Milwaukee, Wisconsin, US",7,
"Crosby, Miss Harriette Rebecca",39,"Milwaukee, Wisconsin, US",Southampton,"Milwaukee, Wisconsin, US",7,
"Cumings, Mr. John Bradley",39,New York City,Cherbourg,New York City,,
"Cumings, Mrs. Florence Briggs (née Thayer)",35,New York City,Cherbourg,"New York, US",4,
"Daly, Mr. Peter Dennis",51,"Lima, Peru",Southampton,"Lima, Peru",A,
"Daniel, Mr. Robert Williams",27,"Philadelphia, Pennsylvania, US",Southampton,"Philadelphia, Pennsylvania, US",3,
"Davidson, Mr. Thornton",31,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,
"Davidson, Mrs. Orian (née Hays)",27,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",3,
"Dick, Mr. Albert Adrian",31,"Calgary, Alberta, Canada",Southampton,"Calgary, Alberta, Canada",3,
"Dick, Mrs. Vera (née Gillespie)",17,"Calgary, Alberta, Canada",Southampton,"Calgary, Alberta, Canada",3,
"Dodge, Dr. Washington",52,"San Francisco, California, US",Southampton,"San Francisco, California, US",13,
"Dodge, Mrs. Ruth (née Vidaver)",34,"San Francisco, California, US",Southampton,"San Francisco, California, US",5,
"Dodge, Master Washington, Jr.",4,"San Francisco, California, US",Southampton,"San Francisco, California, US",5,
"Douglas, Mr. Walter Donald",50,"Minneapolis, Minnesota, US",Cherbourg,"Minneapolis, Minnesota, US",,62MB
"Douglas, Mrs. Mahala (née Dutton)",48,"Minneapolis, Minnesota, US",Cherbourg,"Minneapolis, Minnesota, US",2,
"and maid, Miss Berthe Leroy",27,"Minneapolis, Minnesota, US",Cherbourg,"Minneapolis, Minnesota, US",2,
"Douglas, Mrs. Mary Hélène (née Baxter)",27,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada",6,
"Duff Gordon, Sir Cosmo Edmund",49,"London, England, UK",Cherbourg,New York City,1,
"Duff Gordon, Lucy Christiana, Lady (née Sutherland)",48,"London, England, UK",Cherbourg,New York City,1,
"and secretary, Miss Laura Mabel Francatelli",31,"London, England, UK",Cherbourg,New York City,1,
"Dulles, Mr. William Crothers",39,"Philadelphia, Pennsylvania, US",Cherbourg,"Philadelphia, Pennsylvania, US",,133MB
"Eustis, Miss Elizabeth Mussey",54,"Brookline, Massachusetts, US",Cherbourg,"Brookline, Massachusetts, US",4,
"Evans, Miss Edith Corse",36,New York City,Cherbourg,New York City,,
"Flegenheim, Mrs. Antoinette (née Wendt)",48,New York City,Cherbourg,New York City,7,
"Flynn, Mr. John Irwin",36,"Brooklyn, New York, US",Southampton,"Brooklyn, New York, US",5,
"Foreman, Mr. Benjamin Laventall",30,New York City,Southampton,New York City,,
"Fortune, Mr. Mark",64,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",,
"Fortune, Mrs. Mary (née McDougald)",60,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",10,
"Fortune, Miss Ethel Flora",28,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",10,
"Fortune, Miss Alice Elizabeth",24,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",10,
"Fortune, Miss Mabel Helen",23,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",10,
"Fortune, Mr. Charles Alexander",19,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",,
"Franklin, Mr. Thomas Parnham",37,"London, England, UK",Southampton,New York City,,
"Frauenthal, Dr. Henry William",49,"London, England, UK",Southampton,New York City,5,
"Frauenthal, Mrs. Clara (née Heinsheimer)",42,"London, England, UK",Southampton,New York City,5,
"Frauenthal, Mr. Isaac Gerald",43,"London, England, UK",Southampton,New York City,5,
"Frölicher, Mr. Maximilian Josef",60,"Zürich, Switzerland",Cherbourg,New York City,5,
"Frölicher, Mrs. Margaretha Emerentia (née Stehli)",48,"Zürich, Switzerland",Cherbourg,New York City,5,
"Frölicher-Stehli, Miss Hedwig Margaritha",22,"Zürich, Switzerland",Cherbourg,New York City,5,
"Futrelle, Mr. Jacques Heath",37,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US",,
"Futrelle, Mrs. Lily May (née Peel)",35,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US",D,
"Gee, Mr. Arthur H.",47,"St. Annes-on-Sea, Lancashire, England, UK",Southampton,"Mexico City, Mexico",,275MB
"Gibson, Mrs. Pauline Caroline (née Boeson)",44,New York City,Cherbourg,New York City,7,
"Gibson, Miss Dorothy Winifred",22,New York City,Cherbourg,New York City,7,
"Goldenberg, Mr. Samuel L.",47,"Paris, France",Cherbourg,New York City,5,
"Goldenberg, Mrs. Nella (née Wiggins)",40,"Paris, France",Cherbourg,New York City,5,
"Goldschmidt, Mr. George B.",71,New York City,Cherbourg,New York City,,
"Gracie IV, Colonel Archibald",53,"Washington, D.C., US",Southampton,"Washington, D.C., US",B,
"Graham, Mr. George Edward",38,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",,147MB
"Graham, Mrs. Edith Ware (née Junkins)",59,"Greenwich, Connecticut, US",Southampton,"Greenwich, Connecticut, US",3,
"Graham, Miss Margaret Edith",19,"Greenwich, Connecticut, US",Southampton,"Greenwich, Connecticut, US",3,
"and governess, Miss Elizabeth Weed Shutes",40,"Greenwich, Connecticut, US",Southampton,"Greenwich, Connecticut, US",3,
"Greenfield, Mrs. Blanche (née Strouse)",45,New York City,Cherbourg,New York City,7,
"Greenfield, Mr. William Bertram",23,New York City,Cherbourg,New York City,7,
"Guggenheim, Mr. Benjamin",46,"Paris, France",Cherbourg,New York City,,
"and valet, Mr. Victor Giglio",24,"Paris, France",Cherbourg,New York City,,
"and chauffeur, Mr. René Pernot[55]",39,"Paris, France",Cherbourg,New York City,,
"Harder, Mr. George Achilles",25,New York City,Cherbourg,New York City,5,
"Harder, Mrs. Dorothy (née Annan)",21,New York City,Cherbourg,New York City,5,
"Harper, Mr. Henry Sleeper",48,New York City,Cherbourg,New York City,3,
"and dragoman, Mr. Hammad Hassab",27,"Cairo, Egypt",Cherbourg,New York City,3,
"Harper, Mrs. Myna (née Haxtun)",49,New York City,Cherbourg,New York City,3,
"Harris, Mr. Henry Birkhardt",45,New York City,Southampton,New York City,,
"Harris, Mrs. Irene (née Wallach)",35,New York City,Southampton,New York City,D,
"Hawksford, Mr. Walter James",45,"Kingston, Surrey, England, UK",Southampton,New York City,3,
"Hays, Mr. Charles Melville",55,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,307M
"and clerk, Mr. Vivian Ponsonby Payne",22,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,
"Hays, Mrs. Clara Jennings (née Grigg)",52,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",3,
"and maid, Miss Mary Anne Perreault",33,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",3,
"Hays, Miss Margaret Bechstein",24,New York City,Cherbourg,New York City,7,
"Head, Mr. Christopher",42,"Chelsea, London, England, UK",Southampton,New York City,,
"Hilliard, Mr. Herbert Henry",44,"Brighton, Massachusetts, US",Southampton,"Brighton, Massachusetts, US",,
"Hipkins, Mr. William Edward",55,"Birmingham, West Midlands, England, UK",Southampton,New York City,,
"Hippach, Mrs. Ida Sophia (née Fischer)",44,"Chicago, Illinois, US",Cherbourg,"Chicago, Illinois, US",4,
"Hippach, Miss Jean Gertrude",17,"Chicago, Illinois, US",Cherbourg,"Chicago, Illinois, US",4,
"Hogeboom, Mrs. Anna Louisa (née Andrews)",51,"Hudson, New York, US",Cherbourg,"Hudson, New York, US",10,
"Holverson, Mr. Alexander Oskar",42,New York City,Southampton,New York City,,38MB
"Holverson, Mrs. Mary Aline (née Towner)",35,New York City,Southampton,New York City,8,
"Homer, Mr. Harry (alias E. Haven)",40,"Indianapolis, Indiana, US",Southampton,"Indianapolis, Indiana, US",15,
"Hoyt, Mr. Frederick Maxfield",35,New York City,Southampton,"Stamford, Connecticut, US",D,
"Hoyt, Mrs. Jane Anne (née Forby)",31,New York City,Southampton,"Stamford, Connecticut, US",D,
"Hoyt, Mr. William Fisher",42,New York City,Cherbourg,New York City,14,[62][63]
"Isham, Miss Ann Elizabeth",50,"Chicago, Illinois, US",Cherbourg,"Chicago, Illinois, US",,
"Ismay, Mr. Joseph Bruce",49,"Liverpool, Merseyside, England, UK",Southampton,New York City,C,
"and valet, Mr. John Richard Fry",39,"Liverpool, Merseyside, England, UK",Southampton,New York City,,
"and secretary, Mr. William Henry Harrison",45,"Wallasey, Merseyside, England, UK",Southampton,New York City,,110MB
"Jones, Mr. Charles Cresson",46,"Bennington, Vermont, US",Southampton,"Bennington, Vermont, US",,80MB
"Julian, Mr. Henry Forbes",50,"Torquay, Devon, England, UK",Southampton,"San Francisco, US",,
"Kent, Mr. Edward Austin",58,"Buffalo, New York, US",Cherbourg,"Buffalo, New York, US",,258MB
"Kenyon, Mr. Frederick R.",41,"Pittsburgh, Pennsylvania, US",Southampton,"Pittsburgh, Pennsylvania, US",,
"Kenyon, Mrs. Marion (née Stauffer)[58][64]",31,"Pittsburgh, Pennsylvania, US",Southampton,"Pittsburgh, Pennsylvania, US",8,
"Kimball, Mr. Edwin Nelson Jr.",42,"Boston, Massachusetts, US",Southampton,"Boston, Massachusetts, US",5,
"Kimball, Mrs. Gertrude (née Parsons)",45,"Boston, Massachusetts, US",Southampton,"Boston, Massachusetts, US",5,
"Klaber, Mr. Herman",45,"Portland, Oregon, US",Southampton,"Portland, Oregon, US",,
"Lambert-Williams, Mr. Fletcher Fellows",43,"London, England, UK",Southampton,"Newark, New Jersey, US",,
"Leader, Dr. Alice (née Farnham)",49,New York City,Southampton,New York City,8,
"Leslie, Lucy Noël Martha, Countess of Rothes (née Dyer-Edwardes)",27,"Vancouver, British Columbia, Canada",Southampton,"Vancouver, British Columbia, Canada",8,
"and maid, Miss Roberta Elizabeth Mary ""Cissy"" Maioni[65]",20,"Vancouver, British Columbia, Canada",Southampton,"Vancouver, British Columbia, Canada",8,
"Lewy, Mr. Ervin G.",31,"Chicago, Illinois, US",Cherbourg,"Chicago, Illinois, US",,
"Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey)",42,"Jordanstorp, Södermanland, Sweden",Southampton,New York City,,
"Lindström, Mrs. Sigrid (née Posse)",55,"Stockholm, Sweden",Cherbourg,New York City,6,
"Lines, Mrs. Elizabeth Lindsey (née James)",50,"Paris, France",Cherbourg,"Hanover, New Hampshire, US",9,
"Lines, Miss Mary Conover",16,"Paris, France",Cherbourg,"Hanover, New Hampshire, US",9,
"Long, Mr. Milton Clyde",29,"Springfield, Massachusetts, US",Southampton,"Springfield, Massachusetts, US",,126MB
"Longley, Miss Gretchen Fiske",21,"Hudson, New York, US",Cherbourg,"Hudson, New York, US",10,
"Loring, Mr. Joseph Holland",30,"London, England, UK",Southampton,New York City,,
"Madill, Miss Georgette Alexandra",16,"St. Louis, Missouri, US",Southampton,"St. Louis, Missouri, US",2,
"Maguire, Mr. John Edward",30,"Brockton, Massachusetts, US",Southampton,"Brockton, Massachusetts, US",,
"Maréchal, Mr. Pierre, Sr.",28,"Paris, France",Cherbourg,New York City,7,
"Marvin, Mr. Daniel Warner",18,New York City,Southampton,New York City,,
"Marvin, Mrs. Mary Graham Carmichael (née Farquarson)[58][66]",18,New York City,Southampton,New York City,10,
"Mayné, Miss Bertha Antonine",24,"Brussels, Belgium",Cherbourg,"Montreal, Quebec, Canada",6,
"McCaffry, Mr. Thomas Francis",46,"Vancouver, British Columbia, Canada",Southampton,"Vancouver, British Columbia, Canada",,292MB
"McCarthy, Mr. Timothy J.",54,"Dorchester, Massachusetts, US",Southampton,"Dorchester, Massachusetts, US",,175MB
"McGough, Mr. James Robert",35,"Philadelphia, Pennsylvania, US",Southampton,"Philadelphia, Pennsylvania, US",7,
"Meyer, Mr. Edgar Joseph",28,New York City,Cherbourg,New York City,,
"Meyer, Mrs. Leila (née Saks)",25,New York City,Cherbourg,New York City,6,
"Millet, Mr. Francis Davis",65,"East Bridgewater, Massachusetts, US",Cherbourg,"East Bridgewater, Massachusetts, US",,249MB
"Minahan, Dr. William Edward",44,"Fond du Lac, Wisconsin, US",Southampton,"Fond du Lac, Wisconsin, US",,230MB
"Minahan, Mrs. Lillian E. (née Thorpe)",37,"Fond du Lac, Wisconsin, US",Southampton,"Fond du Lac, Wisconsin, US",14,
"Minahan, Miss Daisy E.",33,"Fond du Lac, Wisconsin, US",Southampton,"Fond du Lac, Wisconsin, US",14,
"Mock, Mr. Philipp Edmund",30,New York City,Cherbourg,New York City,11,
"Molson, Mr. Harry Markland",55,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,
"Moore, Mr. Clarence Bloomfield",47,"Washington, D.C., US",Southampton,"Washington, D.C., US",,
"and valet, Mr. Charles Henry Harrington",37,"Washington, D.C., US",Southampton,"Washington, D.C., US",,
"Natsch, Mr. Charles",36,"Brooklyn, New York, US",Cherbourg,"Brooklyn, New York, US",,
"Newell, Mr. Arthur Webster",58,"Lexington, Massachusetts, US",Cherbourg,"Lexington, Massachusetts, US",,122MB
"Newell, Miss Madeleine",31,"Lexington, Massachusetts, US",Cherbourg,"Lexington, Massachusetts, US",6,
"Newell, Miss Marjorie Anne",23,"Lexington, Massachusetts, US",Cherbourg,"Lexington, Massachusetts, US",6,
"Newsom, Miss Helen Monypeny",19,New York City,Southampton,New York City,5,
"Nicholson, Mr. Arthur Ernest",64,"Shanklin, Isle of Wight, England, UK",Southampton,New York City,,263MB
"Nourney, Mr. Alfred[67][68]",20,"Cologne, German Empire[note 2]",Cherbourg,New York City,7,
"Omont, Mr. Alfred Fernand",29,"Le Havre, France",Cherbourg,New York City,7,
"Ostby, Mr. Engelhart Cornelius",64,"Providence, Rhode Island, US",Southampton,"Providence, Rhode Island, US",,234MB
"Ostby, Miss Helene Ragnhild",22,"Providence, Rhode Island, US",Southampton,"Providence, Rhode Island, US",5,
"Ovies y Rodriguez, Mr. Servando José Florentino",36,"Havana, Cuba",Cherbourg,"Havana, Cuba",,189MB
"Parr, Mr. William Henry Marsh[56]",29,"Belfast, Ireland, UK",Belfast,New York City,,
"Partner, Mr. Austin",40,"Tolworth, London, England, UK",Southampton,"Toronto, Ontario, Canada",,166MB
"Pears, Mr. Thomas Clinton",29,"Isleworth, London, England, UK",Southampton,New York City,,
"Pears, Mrs. Edith (née Wearne)",22,"Isleworth, London, England, UK",Southampton,New York City,8,
"Peñasco y Castellana, Mr. Victor",24,"Madrid, Spain",Cherbourg,New York City,,
"Peñasco y Castellana, Mrs. Maria Josefa (née Perez de Soto y Vallejo)",22,"Madrid, Spain",Cherbourg,New York City,8,
"and maid, Doña Fermina Oliva y Ocana",39,"Madrid, Spain",Cherbourg,New York City,8,
"Peuchen, Major Arthur Godfrey",52,"Toronto, Ontario, Canada",Southampton,"Toronto, Ontario, Canada",6,
"Porter, Mr. Walter Chamberlain",46,"Worcester, Massachusetts, US",Southampton,"Worcester, Massachusetts, US",,207MB
"Potter, Mrs. Lily Alexenia (née Wilson)",56,"Philadelphia, Pennsylvania, US",Cherbourg,"Philadelphia, Pennsylvania, US",7,
"Reuchlin, The Honourable Mr. Johan George",38,"Rotterdam, The Netherlands",Southampton,New York City,,
"Rheims, Mr. George Alexander Lucien",36,"Paris, France",Southampton,New York City,A,
"Robert, Mrs. Elisabeth Walton (née McMillan)",43,"St. Louis, Missouri, US",Southampton,"St. Louis, Missouri, US",2,
"and maid, Miss Emilie Kreuchen",29,"St. Louis, Missouri, US",Southampton,"St. Louis, Missouri, US",2,
"Roebling, Mr. Washington Augustus II",31,"Trenton, New Jersey, US",Southampton,"Trenton, New Jersey, US",,
"Romaine, Mr. Charles Hallance (alias C. Rolmane)",45,New York City,Southampton,New York City,9,
"Rood, Mr. Hugh Roscoe",38,"Seattle, Washington, US",Southampton,"Seattle, Washington, US",,
"Rosenbaum, Miss Edith Louise",34,"Paris, France",Cherbourg,"Cincinnati, Ohio, US",11,
"Rosenshine, Mr. George (alias George Thorne)",46,New York City,Cherbourg,New York City,,16MB
"Ross, Mr. John Hugo",36,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",,
"Rothschild, Mr. Martin",46,New York City,Cherbourg,New York City,,
"Rothschild, Mrs. Elizabeth Jane Anne (née Barrett)",54,New York City,Cherbourg,New York City,6,
"Rowe, Mr. Alfred G.",59,"Liverpool, Merseyside, England, UK",Southampton,New York City,,109MB
"Ryerson, Mr. Arthur Larned",61,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",,
"Ryerson, Mrs. Emily Maria (née Borie)",48,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,
"and maid, Miss Victorine Chaudanson",36,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,
"Ryerson, Miss Susan Parker ""Suzette""",21,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,
"Ryerson, Miss Emily Borie",18,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,
"Ryerson, Master John Borie ""Jack""",13,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,
"and governess, Miss Grace Scott Bowen",45,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,
"Saalfeld, Mr. Adolphe",47,"Manchester, England, UK",Southampton,New York City,3,
"Salomon, Mr. Abraham Lincoln",43,New York City,Cherbourg,New York City,1,
"Schabert, Mrs. Emma (née Mock)",35,"Hamburg, German Empire[note 2]",Southampton,New York City,11,
"Seward, Mr. Frederic Kimber",34,New York City,Southampton,New York City,7,
"Silverthorne, Mr. Spencer Victor",35,"St. Louis, Missouri, US",Southampton,"St. Louis, Missouri, US",5,
"Silvey, Mr. William Baird",50,"Duluth, Minnesota, US",Cherbourg,"Duluth, Minnesota, US",,
